id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
22017,ven,82,-7.9367,-18.8039,7.6638,-7.4446,-18.5833,7.9268,50.41
22018,ven,82,-16.5507,-12.0880,10.5485,-16.4477,-11.7419,11.0277,40.01
22019,ven,82,25.5361,1.1689,-10.5205,26.0907,1.3616,-10.6444,23.40
22020,ven,82,-23.9406,-13.1336,9.1706,-24.3347,-12.7654,9.4335,52.04
22021,ven,82,-18.5156,-10.6271,8.5528,-18.5420,-10.1353,8.8955,52.04
22022,ven,81,9.1698,-18.8958,6.5586,8.7536,-18.8777,6.9905,57.71
22023,ven,82,26.5953,-2.7904,-3.7023,26.9388,-2.3883,-3.4189,23.40
22024,ven,82,23.2852,3.3323,-9.6917,23.4544,3.8181,-9.3829,40.01
22025,ven,82,-32.4427,-4.9973,-8.8824,-33.0213,-4.8586,-8.9595,23.40
22026,ven,82,-20.1182,9.8925,-10.8993,-20.4390,10.3944,-10.8272,52.04
22027,ven,82,-18.9015,10.0303,-8.6867,-19.1066,10.5893,-8.6124,79.35
22028,ven,82,15.9524,9.4379,-12.2471,16.3724,9.8662,-12.2594,44.76
22029,ven,82,25.0523,0.8982,-7.8420,25.5461,1.1619,-7.6260,23.40
22030,ven,82,11.7604,11.2352,-10.2116,12.0545,11.7540,-10.1460,37.15
22031,ven,81,16.3201,-15.8827,6.7935,16.2899,-15.4247,7.1799,23.40
22032,ven,82,-20.8513,9.4817,-10.7482,-21.1269,10.0147,-10.7502,52.04
22033,ven,82,-22.3679,-11.1559,7.5231,-22.4872,-10.6908,7.8828,77.27
22034,ven,82,-9.1009,14.8793,-7.9595,-9.4549,15.2952,-7.7111,23.40
22035,ven,82,25.2354,1.6302,-11.3691,25.6903,2.0115,-11.4564,23.40
22036,ven,82,3.9318,14.5739,-9.7245,4.0750,15.1524,-9.6547,23.40
22037,ven,82,29.2561,-6.3761,-4.2024,29.7348,-6.0186,-4.1471,99.12
22038,ven,82,30.7872,-16.7175,-3.1851,31.3268,-16.6985,-2.9234,23.40
22039,ven,82,15.3564,9.7492,-12.6317,15.6441,10.2732,-12.6830,46.80
22040,ven,82,4.7320,14.2889,-9.8911,4.9169,14.8596,-9.8855,63.52
22041,ven,82,12.6650,10.9572,-12.3917,12.7389,11.5517,-12.4243,23.40
22042,ven,82,25.2541,1.6704,-9.1372,25.6283,2.0963,-8.9407,102.07
22043,ven,81,-32.1557,-18.0480,0.8337,-32.6250,-17.8567,1.1550,63.52
22044,ven,82,9.1872,12.4465,-9.5430,9.4580,12.8470,-9.1877,23.40
22045,ven,82,29.5387,-4.3171,-9.7696,30.0864,-4.0725,-9.7838,92.61
22046,ven,81,17.7825,-15.8180,6.0611,18.2327,-15.4455,6.1973,23.40
22047,ven,81,0.5527,11.1023,-5.7799,0.1991,11.0860,-5.2954,23.40
22048,ven,82,-28.9958,1.5560,-10.1814,-29.3689,2.0166,-10.0884,33.75
22049,ven,82,-16.0686,-10.9591,9.2359,-16.1273,-10.6334,9.7364,23.40
22050,ven,82,25.9902,0.4519,-9.0185,26.5196,0.6573,-9.2124,50.41
22051,ven,81,11.7954,-16.5702,7.2924,11.5600,-16.2872,7.7662,23.40
22052,ven,82,-8.1499,-15.5111,6.2197,-7.6253,-15.2281,6.2885,53.57
22053,ven,82,-29.2710,1.1327,-11.1419,-29.7982,1.3849,-11.2777,44.76
22054,ven,82,-27.3219,-15.4554,7.4489,-27.8663,-15.4242,7.6991,23.40
22055,ven,81,24.1846,-1.6857,-6.0457,23.7070,-1.4030,-5.8178,23.40
22056,ven,82,-21.6963,8.9400,-11.1451,-22.0591,9.4156,-11.1923,44.76
22057,ven,82,21.8580,4.1338,-10.0315,22.0715,4.6835,-9.9206,23.40
22058,ven,82,25.4949,1.3564,-9.5935,26.0456,1.5791,-9.6781,50.41
22059,ven,82,-19.9632,-11.6400,9.2470,-20.2956,-11.3530,9.6559,23.40
22060,ven,82,30.7816,-7.8564,-10.7510,31.3119,-7.5858,-10.8260,23.40
22061,ven,82,14.5837,10.1785,-10.8311,14.7879,10.7361,-10.7458,23.40
22062,ven,81,-28.8826,-16.2443,5.2975,-29.3143,-15.8742,5.4892,69.32
22063,ven,82,-11.6360,12.7896,-3.6159,-12.1285,12.9583,-3.9142,23.40
22064,ven,81,-9.0744,11.8537,-0.0830,-8.9705,12.0509,0.4741,168.89
22065,ven,82,-20.4792,-10.6143,6.6093,-20.6763,-10.1136,6.8746,85.63
22066,ven,81,-8.6423,5.2096,3.4034,-8.7857,5.2549,3.9843,142.11
22067,ven,82,-10.4602,14.5336,-10.6074,-10.6031,15.1137,-10.6625,23.40
22068,ven,82,-20.7941,9.4959,-10.6203,-21.0395,10.0353,-10.5267,23.40
22069,ven,82,27.9386,-2.5522,-12.9461,28.4919,-2.3726,-13.0914,23.40
22070,ven,82,22.0869,4.1066,-12.6317,22.3864,4.6228,-12.6938,40.01
22071,ven,82,28.8841,-16.6250,1.3568,29.0748,-16.5870,1.9244,23.40
22072,ven,82,-17.3018,-11.4348,10.0709,-17.4542,-10.9367,10.3688,23.40
22073,ven,82,-14.5274,12.4734,-10.3836,-14.7623,12.9996,-10.2167,61.33
22074,ven,82,-19.4610,10.0962,-10.1274,-19.7219,10.6354,-10.0945,23.40
22075,ven,82,-15.3059,-11.7654,10.1289,-15.2511,-11.3816,10.5868,23.40
22076,ven,82,25.2208,1.7113,-9.4337,25.7051,2.0346,-9.5784,33.75
22077,ven,82,-7.5696,-19.6020,6.8535,-6.9833,-19.5564,6.9724,52.04
22078,ven,81,-32.1900,-17.9736,0.7099,-32.7094,-17.7625,0.9239,23.40
22079,ven,81,11.3845,-15.7704,6.2301,11.2959,-15.1777,6.2610,104.86
22080,ven,82,14.2720,10.3730,-11.7703,14.5323,10.9047,-11.8680,40.01
22081,ven,82,0.8853,14.6266,-8.8929,0.7745,15.1718,-8.6683,58.96
22082,ven,82,3.2289,14.3888,-7.5276,3.5107,14.8494,-7.2659,23.40
22083,ven,82,-30.1700,0.0878,-9.9674,-30.6964,0.3757,-9.9746,87.34
22084,ven,82,-27.2251,-16.1355,8.0682,-27.7003,-15.9798,8.3998,23.40
22085,ven,82,29.8529,-6.9824,-6.6983,30.3276,-6.6160,-6.7189,23.40
22086,ven,82,-22.5094,-12.8916,9.5090,-22.6726,-12.5268,9.9566,40.01
22087,ven,82,-15.5092,-11.9324,10.3059,-15.4838,-11.5141,10.7353,44.76
22088,ven,81,-30.6737,-17.2108,2.7626,-31.1524,-17.0793,3.0996,23.40
22089,ven,82,26.4643,0.2086,-11.7772,26.9856,0.5052,-11.7607,23.40
22090,ven,82,-33.4486,-7.7230,-10.3144,-34.0218,-7.7109,-10.1374,23.40
22091,ven,82,-8.0853,-15.8011,6.1544,-7.4892,-15.8644,6.1798,23.40
22092,ven,82,31.2650,-16.8400,-4.6337,31.8035,-16.7535,-4.3837,23.40
22093,ven,82,31.5696,-14.4256,-6.6997,32.1599,-14.3214,-6.7258,87.34
22094,ven,82,25.7287,0.9128,-8.8268,26.3130,1.0085,-8.7297,23.40
22095,ven,82,25.9692,0.8166,-12.0419,26.4404,1.1806,-12.1156,62.44
22096,ven,82,-27.2100,-15.2103,7.2868,-27.6495,-14.8200,7.4073,90.58
22097,ven,81,-29.7262,-13.0197,-1.7580,-29.4958,-12.7310,-1.2852,52.04
22098,ven,82,-23.8929,6.3507,-9.1480,-24.3919,6.6728,-9.0623,23.40
22099,ven,82,23.7528,3.1461,-10.2074,24.1006,3.6304,-10.1401,23.40
22100,ven,82,-27.2821,2.9527,-8.6542,-27.6367,3.4193,-8.7827,23.40
22101,ven,82,21.3889,4.4052,-11.1057,21.4951,4.9810,-10.9748,29.48
22102,ven,82,-7.9617,-18.8632,7.7470,-7.4535,-18.8482,8.0657,42.52
22103,ven,81,10.8660,-16.5436,6.6654,10.5186,-16.3099,7.0952,66.55
22104,ven,82,-31.5906,-2.3774,-10.0765,-32.0904,-2.0591,-10.1708,58.96
22105,ven,82,-11.0074,-12.1775,7.3922,-10.6267,-11.7434,7.5554,23.40
22106,ven,81,16.8156,-17.4970,8.5181,16.9708,-17.2143,9.0241,23.40
22107,ven,82,25.1412,1.7724,-10.1215,25.5727,2.1374,-10.3229,44.76
22108,ven,81,9.1749,-18.9173,6.5684,8.6637,-19.1076,6.8183,53.57
22109,ven,82,31.3129,-17.5557,-4.5590,31.8224,-17.7383,-4.3000,23.40
22110,ven,82,-20.2192,-10.4854,6.2979,-20.5447,-10.0444,6.0538,138.20
22111,ven,82,23.2883,3.3384,-9.7136,23.4535,3.9146,-9.7414,23.40
22112,ven,82,31.3509,-13.5849,-9.0727,31.9106,-13.3774,-9.0127,23.40
22113,ven,82,1.5406,14.8225,-9.9944,1.4278,15.4117,-10.0038,46.80
22114,ven,82,27.8768,-2.0962,-10.5317,28.3155,-1.6912,-10.4718,63.52
22115,ven,82,26.0426,-0.2903,-8.2289,26.6025,-0.0899,-8.1492,23.40
22116,ven,82,-17.0709,-9.9619,6.6269,-17.2763,-9.4288,6.8102,23.40
22117,ven,82,-24.2749,-11.2260,6.5772,-24.6184,-10.7900,6.8050,40.01
22118,ven,82,1.9690,14.5475,-7.8016,1.8838,15.1111,-7.6143,98.24
22119,ven,82,15.3721,9.5200,-10.2072,15.8405,9.8935,-10.2405,65.57
22120,ven,82,25.6476,1.0895,-9.7770,26.2060,1.2748,-9.8947,23.40
22121,ven,81,20.0021,-17.3466,6.9482,20.4586,-17.1577,7.2887,23.40
22122,ven,81,12.3875,-16.0224,6.9258,12.2969,-15.7137,7.4322,23.40
22123,ven,82,20.1137,4.6915,-8.5983,20.4780,5.1551,-8.7095,50.41
22124,ven,82,30.2967,-6.1483,-8.6734,30.8281,-5.8785,-8.6039,29.48
22125,ven,82,-34.4728,-15.1543,-3.3426,-35.0419,-15.0000,-3.2319,102.07
22126,ven,82,-9.0381,14.9025,-7.9844,-9.0744,15.4989,-7.9290,58.96
22127,ven,82,-23.6453,7.1963,-10.8567,-24.0974,7.5907,-10.8636,29.48
22128,ven,82,21.1555,4.2798,-10.2627,21.2008,4.8769,-10.3001,23.40
22129,ven,82,-12.2266,13.6793,-9.8283,-12.5376,14.1565,-9.6397,74.29
22130,ven,82,-26.9755,3.5060,-10.4082,-27.3300,3.9868,-10.3520,23.40
22131,ven,82,-7.5861,-19.4871,6.6152,-7.0057,-19.3428,6.5669,23.40
22132,ven,82,27.7479,-1.8753,-12.5865,28.2632,-1.5949,-12.7125,50.41
22133,ven,82,-9.5196,14.5029,-2.7540,-9.4594,15.0995,-2.7329,23.40
22134,ven,82,-21.9508,8.6603,-9.6990,-22.3351,9.1033,-9.5722,96.90
22135,ven,82,-33.3612,-6.7578,-10.5830,-33.8716,-6.4557,-10.4921,48.67
22136,ven,82,17.4002,7.9414,-11.6403,17.8727,8.3110,-11.6284,57.71
