ix,iy,iz,x_cm,y_cm,z_cm,prioridad
33,35,1,0.16779661016949152,0.17796610169491525,0.005128205128205128,CRITICA
34,13,23,0.17288135593220338,0.06610169491525424,0.11794871794871795,CRITICA
34,13,38,0.17288135593220338,0.06610169491525424,0.19487179487179487,CRITICA
34,13,39,0.17288135593220338,0.06610169491525424,0.2,CRITICA
34,15,38,0.17288135593220338,0.07627118644067796,0.19487179487179487,CRITICA
34,15,39,0.17288135593220338,0.07627118644067796,0.2,CRITICA
34,17,38,0.17288135593220338,0.08644067796610169,0.19487179487179487,CRITICA
34,17,39,0.17288135593220338,0.08644067796610169,0.2,CRITICA
34,19,38,0.17288135593220338,0.09661016949152541,0.19487179487179487,CRITICA
34,19,39,0.17288135593220338,0.09661016949152541,0.2,CRITICA
34,26,22,0.17288135593220338,0.13220338983050847,0.11282051282051282,CRITICA
34,27,13,0.17288135593220338,0.13728813559322034,0.06666666666666667,CRITICA
34,28,0,0.17288135593220338,0.14237288135593218,0.0,CRITICA
34,28,1,0.17288135593220338,0.14237288135593218,0.005128205128205128,CRITICA
34,28,12,0.17288135593220338,0.14237288135593218,0.06153846153846154,CRITICA
34,29,2,0.17288135593220338,0.14745762711864405,0.010256410256410256,CRITICA
34,29,13,0.17288135593220338,0.14745762711864405,0.06666666666666667,CRITICA
34,30,0,0.17288135593220338,0.15254237288135591,0.0,CRITICA
34,30,1,0.17288135593220338,0.15254237288135591,0.005128205128205128,CRITICA
34,31,2,0.17288135593220338,0.15762711864406778,0.010256410256410256,CRITICA
34,32,0,0.17288135593220338,0.16271186440677965,0.0,CRITICA
34,32,1,0.17288135593220338,0.16271186440677965,0.005128205128205128,CRITICA
34,34,0,0.17288135593220338,0.17288135593220338,0.0,CRITICA
34,34,1,0.17288135593220338,0.17288135593220338,0.005128205128205128,CRITICA
34,36,34,0.17288135593220338,0.18305084745762712,0.17435897435897435,CRITICA
34,37,35,0.17288135593220338,0.18813559322033896,0.1794871794871795,CRITICA
35,14,38,0.17796610169491525,0.07118644067796609,0.19487179487179487,CRITICA
35,14,39,0.17796610169491525,0.07118644067796609,0.2,CRITICA
35,15,37,0.17796610169491525,0.07627118644067796,0.18974358974358974,CRITICA
35,16,38,0.17796610169491525,0.08135593220338982,0.19487179487179487,CRITICA
35,16,39,0.17796610169491525,0.08135593220338982,0.2,CRITICA
35,17,37,0.17796610169491525,0.08644067796610169,0.18974358974358974,CRITICA
35,18,38,0.17796610169491525,0.09152542372881356,0.19487179487179487,CRITICA
35,18,39,0.17796610169491525,0.09152542372881356,0.2,CRITICA
35,27,0,0.17796610169491525,0.13728813559322034,0.0,CRITICA
35,27,1,0.17796610169491525,0.13728813559322034,0.005128205128205128,CRITICA
35,27,3,0.17796610169491525,0.13728813559322034,0.015384615384615385,CRITICA
35,28,2,0.17796610169491525,0.14237288135593218,0.010256410256410256,CRITICA
35,29,0,0.17796610169491525,0.14745762711864405,0.0,CRITICA
35,29,1,0.17796610169491525,0.14745762711864405,0.005128205128205128,CRITICA
35,29,12,0.17796610169491525,0.14745762711864405,0.06153846153846154,CRITICA
35,31,0,0.17796610169491525,0.15762711864406778,0.0,CRITICA
35,31,1,0.17796610169491525,0.15762711864406778,0.005128205128205128,CRITICA
35,33,0,0.17796610169491525,0.16779661016949152,0.0,CRITICA
35,33,1,0.17796610169491525,0.16779661016949152,0.005128205128205128,CRITICA
35,35,0,0.17796610169491525,0.17796610169491525,0.0,CRITICA
35,35,1,0.17796610169491525,0.17796610169491525,0.005128205128205128,CRITICA
35,35,34,0.17796610169491525,0.17796610169491525,0.17435897435897435,CRITICA
35,36,33,0.17796610169491525,0.18305084745762712,0.16923076923076924,CRITICA
35,36,35,0.17796610169491525,0.18305084745762712,0.1794871794871795,CRITICA
35,37,34,0.17796610169491525,0.18813559322033896,0.17435897435897435,CRITICA
36,15,36,0.18305084745762712,0.07627118644067796,0.18461538461538463,CRITICA
36,15,38,0.18305084745762712,0.07627118644067796,0.19487179487179487,CRITICA
36,15,39,0.18305084745762712,0.07627118644067796,0.2,CRITICA
36,16,37,0.18305084745762712,0.08135593220338982,0.18974358974358974,CRITICA
36,26,0,0.18305084745762712,0.13220338983050847,0.0,CRITICA
36,26,1,0.18305084745762712,0.13220338983050847,0.005128205128205128,CRITICA
36,26,3,0.18305084745762712,0.13220338983050847,0.015384615384615385,CRITICA
36,27,2,0.18305084745762712,0.13728813559322034,0.010256410256410256,CRITICA
36,28,0,0.18305084745762712,0.14237288135593218,0.0,CRITICA
36,28,1,0.18305084745762712,0.14237288135593218,0.005128205128205128,CRITICA
36,28,12,0.18305084745762712,0.14237288135593218,0.06153846153846154,CRITICA
36,29,11,0.18305084745762712,0.14745762711864405,0.05641025641025641,CRITICA
36,35,2,0.18305084745762712,0.17796610169491525,0.010256410256410256,CRITICA
36,36,0,0.18305084745762712,0.18305084745762712,0.0,CRITICA
36,36,1,0.18305084745762712,0.18305084745762712,0.005128205128205128,CRITICA
37,11,11,0.18813559322033896,0.0559322033898305,0.05641025641025641,CRITICA
