id,x1,y1,z1,x2,y2,z2,radio_um,longitud_mm,reynolds
34,49.814832321067776,-49.78504878487761,-49.78504878487761,50.0,-50.0,-42.84376466819232,78.92,6.947,20.36
35,49.17254659433451,-49.039453774921206,-49.039453774921206,50.0,-50.0,-50.0,163.46,1.591,790.0
36,49.17254659433451,-49.039453774921206,-49.039453774921206,50.0,-50.0,-50.0,138.26,1.591,478.11
37,47.41991817796771,47.00492156104628,47.00492156104628,50.0,50.0,50.0,192.96,4.96,416.77
38,47.41991817796771,47.00492156104628,47.00492156104628,50.0,50.0,50.0,158.29,4.96,230.09
39,49.256423203637425,49.13682162655695,49.13682162655695,50.0,50.0,50.0,202.9,1.429,1681.48
40,49.256423203637425,49.13682162655695,49.13682162655695,50.0,50.0,50.0,158.51,1.429,801.64
41,49.701750902585474,49.65377863853944,49.65377863853944,50.0,50.0,50.0,116.86,0.573,800.87
42,49.701750902585474,49.65377863853944,49.65377863853944,50.0,50.0,50.0,133.64,0.573,1197.74
43,47.68074771057707,47.91176119061743,48.473922577154056,50.0,50.0,50.0,133.37,3.474,196.49
44,47.68074771057707,47.91176119061743,48.473922577154056,50.0,50.0,-8.847928452629585,171.32,57.407,25.2
45,49.2319893891957,49.30848852847388,10.13396067715186,50.0,50.0,-50.0,125.89,60.143,9.54
46,49.2319893891957,49.30848852847388,10.13396067715186,-14.053322296893322,-17.99607178771622,-50.0,144.75,110.232,7.92
47,49.680859391403516,-49.62952680506504,-49.62952680506504,50.0,-50.0,-50.0,134.2,0.613,1133.54
48,49.680859391403516,-49.62952680506504,-49.62952680506504,50.0,-50.0,-50.0,124.94,0.613,914.74
49,48.642885954611636,43.28443366395059,48.42459918060185,50.0,-50.0,50.0,201.78,93.308,25.33
50,48.642885954611636,43.28443366395059,48.42459918060185,50.0,40.66783053082073,50.0,192.22,3.342,611.36
51,49.29656710810556,49.18342252955979,49.18342252955979,18.864925980467564,50.0,50.0,170.88,30.454,47.14
52,49.29656710810556,49.18342252955979,49.18342252955979,50.0,50.0,50.0,154.21,1.352,780.32
53,33.9840758384478,49.594305246488226,49.594305246488226,-50.0,8.767734258636404,-45.95217541151574,148.09,133.601,6.99
54,33.9840758384478,49.594305246488226,49.594305246488226,-50.0,50.0,50.0,120.32,83.986,5.97
55,49.49668012225309,-46.60248634096322,-49.415722981781585,50.0,-50.0,-50.0,96.4,3.484,73.97
56,49.49668012225309,-46.60248634096322,-49.415722981781585,50.0,50.0,-50.0,120.74,96.606,5.24
57,49.92175775536917,-49.909172779751394,-49.909172779751394,38.478866669035106,-50.0,-50.0,116.78,11.444,40.04
58,49.92175775536917,-49.909172779751394,-49.909172779751394,50.0,-50.0,-50.0,93.77,0.15,1577.36
