id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm,presion_entrada,presion_salida,es_terminal
784,art,8,-11.6977,16.1509,-6.6708,-14.7097,17.0173,-7.1083,84.22,3.1645,53.31,50.65,1
785,art,8,-11.6977,16.1509,-6.6708,-13.1632,17.0504,-8.0672,80.61,2.2152,53.31,51.37,1
786,art,8,-11.6977,16.1509,-6.6708,-14.5599,15.1764,-7.1124,78.74,3.0557,53.31,50.56,1
787,art,8,-11.6977,16.1509,-6.6708,-13.5496,16.0501,-7.7364,85.63,2.139,53.31,51.54,1
788,art,8,-11.6977,16.1509,-6.6708,-11.6893,17.5195,-4.1027,81.66,2.91,53.31,50.79,1
789,art,8,-11.6977,16.1509,-6.6708,-11.098,16.3358,-4.7329,83.31,2.037,53.31,51.58,1
790,art,8,-9.7877,16.6032,-8.0645,-8.5988,18.1721,-5.8472,66.67,2.965,54.01,50.86,1
791,art,8,-9.7877,16.6032,-8.0645,-9.0806,18.4183,-7.3483,69.06,2.0755,54.01,51.88,1
792,art,9,-9.8142,-12.7783,3.7978,-10.9345,-15.562,4.796,54.16,3.1623,47.09,43.0,1
793,art,9,-9.8142,-12.7783,3.7978,-9.324,-14.6802,4.8189,56.92,2.2136,47.09,44.34,1
794,art,8,-3.7856,6.5117,-5.8012,-1.3565,9.1618,-7.0334,76.69,3.8003,41.39,37.88,0
795,art,8,-3.7856,6.5117,-5.8012,-2.8983,7.5775,-8.0713,70.99,2.6602,41.39,38.74,0
796,art,8,-4.0381,4.9702,-4.5305,-6.1623,6.6565,-4.5061,86.3,2.7123,42.41,43.0,1
797,art,8,-4.0381,4.9702,-4.5305,-5.2075,6.186,-3.6593,85.04,1.8986,42.41,43.0,1
798,art,7,23.8999,8.6827,-5.8633,24.2837,12.1414,-5.3052,97.78,3.5244,77.87,75.32,1
799,art,7,23.8999,8.6827,-5.8633,23.2754,10.8226,-4.8062,90.47,2.4671,77.87,75.94,1
800,art,7,23.8999,8.6827,-5.8633,26.9276,8.6545,-5.5725,97.01,3.0418,77.87,75.65,1
801,art,7,23.8999,8.6827,-5.8633,25.3574,9.4428,-4.51,91.51,2.1292,77.87,76.22,1
802,art,8,4.4617,-19.8439,-5.5635,3.2203,-22.5085,-4.0436,69.18,3.3092,53.19,49.8,1
803,art,8,4.4617,-19.8439,-5.5635,2.8841,-20.9493,-4.277,63.58,2.3165,53.19,50.61,1
804,art,10,2.5151,-3.5499,12.8005,5.426,-2.1853,13.4188,53.17,3.2738,39.8,43.0,1
805,art,10,2.5151,-3.5499,12.8005,4.5152,-4.3258,13.6062,56.96,2.2917,39.8,43.0,1
806,art,10,2.5151,-3.5499,12.8005,1.6284,-6.6295,13.1101,55.81,3.2197,39.8,43.0,1
807,art,10,2.5151,-3.5499,12.8005,3.5573,-5.5176,13.1488,54.58,2.2538,39.8,43.0,1
808,art,9,16.4627,-5.8138,-5.5166,18.9052,-4.4995,-6.5173,73.57,2.9487,43.15,43.0,1
809,art,9,16.4627,-5.8138,-5.5166,17.6985,-5.2664,-7.0766,79.97,2.0641,43.15,43.0,1
810,art,6,30.2569,0.7712,13.192,32.4982,0.454,10.8074,165.81,3.2879,86.52,85.12,1
811,art,6,30.2569,0.7712,13.192,32.4746,1.3725,13.06,157.96,2.3015,86.52,85.49,1
812,art,8,6.9308,6.1693,16.8931,7.2037,9.4581,15.8841,84.92,3.4509,43.31,43.0,1
813,art,8,6.9308,6.1693,16.8931,7.9821,7.1676,14.9609,77.92,2.4156,43.31,43.0,1
814,art,7,2.5332,-8.7896,-10.3678,2.5259,-9.4411,-13.4561,108.63,3.1564,42.81,40.75,0
815,art,7,2.5332,-8.7896,-10.3678,3.2042,-10.4348,-11.6811,111.94,2.2094,42.81,43.0,1
816,art,7,2.4374,-8.5171,-7.5761,3.3569,-9.8923,-5.0943,135.33,2.9826,43.49,43.0,1
817,art,7,2.4374,-8.5171,-7.5761,4.2876,-8.8832,-6.6806,129.68,2.0878,43.49,43.0,1
818,art,9,-22.4082,12.0805,7.4766,-23.1423,13.4994,9.7936,95.85,2.8144,56.72,54.64,1
819,art,9,-22.4082,12.0805,7.4766,-22.1365,13.6294,8.6633,88.08,1.9701,56.72,55.14,1
820,art,9,-23.3179,10.2012,5.712,-26.109,10.4388,5.1542,87.74,2.8562,57.4,55.1,1
821,art,9,-23.3179,10.2012,5.712,-25.2023,9.5663,5.9196,83.33,1.9993,57.4,55.7,1
