id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
536,ven,4,-0.1123,-17.5325,16.7808,-3.0075,-20.7426,-13.9429,290.58
537,ven,4,-0.1123,-17.5325,16.7808,-2.2012,-25.1791,-7.3343,290.54
538,ven,4,2.8822,-24.7251,-8.2953,-3.856,-25.9742,4.8453,212.71
539,ven,4,2.8822,-24.7251,-8.2953,4.8766,-26.4736,1.8564,230.49
540,ven,5,1.9136,-25.6488,6.1202,-17.8766,-21.3117,1.6259,188.95
541,ven,5,1.9136,-25.6488,6.1202,4.644,2.4531,4.8567,191.78
542,ven,5,-0.3219,-26.302,-3.8248,19.4398,-20.9509,-10.5907,224.31
543,ven,5,-0.3219,-26.302,-3.8248,-19.9893,-15.62,15.5908,243.31
544,ven,5,-0.7046,-26.5868,-2.0213,10.811,-21.0571,-12.767,225.07
545,ven,5,-0.7046,-26.5868,-2.0213,-26.3068,-8.7912,7.0968,225.13
546,ven,5,5.1296,-26.4512,-1.936,-0.2819,-16.5367,-17.4683,278.25
547,ven,5,5.1296,-26.4512,-1.936,-0.7396,-18.2243,16.2575,306.92
548,ven,5,21.6675,0.9133,-19.937,-1.5258,-18.3516,-16.1464,223.82
549,ven,5,21.6675,0.9133,-19.937,13.421,-12.7974,-18.5503,198.28
550,ven,5,3.4709,1.6163,-22.1531,-16.5183,10.6728,-9.8642,236.33
551,ven,5,3.4709,1.6163,-22.1531,11.0111,-16.418,-16.8174,250.77
552,ven,5,-1.865,-1.1198,22.2143,0.5752,-1.9127,22.1913,177.89
553,ven,5,-1.865,-1.1198,22.2143,14.9413,12.5312,18.4361,199.26
554,ven,5,7.3455,11.4448,19.8231,0.7409,21.8086,12.832,236.07
555,ven,5,7.3455,11.4448,19.8231,14.6145,8.9482,19.8829,244.43
556,ven,5,-28.7898,-20.4713,5.7261,-42.9914,-3.2587,5.2941,184.24
557,ven,5,-28.7898,-20.4713,5.7261,-10.7903,-9.3937,-4.5285,191.74
558,ven,5,-15.1761,-25.2345,-2.2951,-8.8468,-14.1385,14.2543,162.28
559,ven,5,-15.1761,-25.2345,-2.2951,-13.3327,-21.2541,12.4585,154.99
560,ven,5,-23.0359,-22.8021,4.9351,-19.2182,-21.1665,10.3744,182.58
561,ven,5,-23.0359,-22.8021,4.9351,-26.4147,-10.4213,16.5977,162.61
562,ven,5,-13.2979,-25.6869,-0.5661,-20.8011,-21.8426,-8.6225,145.51
563,ven,5,-13.2979,-25.6869,-0.5661,-17.91,-22.072,9.5117,133.81
564,ven,5,-3.0075,-20.7426,-13.9429,10.1077,-25.8495,-3.151,238.4
565,ven,5,-3.0075,-20.7426,-13.9429,1.8291,-21.057,-13.6549,221.52
566,ven,5,-2.2012,-25.1791,-7.3343,4.0984,-22.8009,-11.4264,232.81
567,ven,5,-2.2012,-25.1791,-7.3343,-19.7348,-20.5925,10.9597,228.25
568,ven,5,-3.856,-25.9742,4.8453,10.1718,-13.0667,-5.7355,156.58
569,ven,5,-3.856,-25.9742,4.8453,-5.6462,-9.9098,-5.3249,161.5
570,ven,5,4.8766,-26.4736,1.8564,-3.9481,-26.1504,-4.1173,197.45
571,ven,5,4.8766,-26.4736,1.8564,22.3282,-12.2779,-0.1145,183.45
572,ven,6,-17.8766,-21.3117,1.6259,-13.3094,-24.2483,7.0811,146.36
573,ven,6,-17.8766,-21.3117,1.6259,-8.0879,-26.0499,3.2091,150.56
574,ven,6,4.644,2.4531,4.8567,18.1699,3.7978,4.6659,158.93
575,ven,6,4.644,2.4531,4.8567,-5.7549,-1.2941,0.62,147.29
576,ven,6,19.4398,-20.9509,-10.5907,9.7094,-23.6841,0.3189,168.69
577,ven,6,19.4398,-20.9509,-10.5907,12.549,-13.7343,-14.7916,166.61
578,ven,6,-19.9893,-15.62,15.5908,-5.1478,-12.4208,20.1129,204.63
579,ven,6,-19.9893,-15.62,15.5908,-12.2984,-16.2067,16.7753,198.67
580,ven,6,10.811,-21.0571,-12.767,18.2888,-23.9808,-5.157,181.09
581,ven,6,10.811,-21.0571,-12.767,9.6323,-25.2242,0.5116,175.97
582,ven,6,-26.3068,-8.7912,7.0968,-29.9135,-21.476,3.3948,175.01
583,ven,6,-26.3068,-8.7912,7.0968,-21.4954,-20.1581,2.1015,182.1
584,ven,6,-0.2819,-16.5367,-17.4683,-6.7065,-25.9921,-4.0756,210.64
585,ven,6,-0.2819,-16.5367,-17.4683,-11.186,-16.3224,-12.5112,198.41
586,ven,6,-0.7396,-18.2243,16.2575,-3.5284,-26.5349,1.8788,269.11
587,ven,6,-0.7396,-18.2243,16.2575,3.8316,-16.4262,17.4543,239.83
588,ven,6,-1.5258,-18.3516,-16.1464,-11.5546,-14.6365,-17.8524,181.53
589,ven,6,-1.5258,-18.3516,-16.1464,-9.7233,-19.7228,-14.3317,194.79
590,ven,6,13.421,-12.7974,-18.5503,6.4298,-9.9069,-20.4539,149.71
591,ven,6,13.421,-12.7974,-18.5503,17.0662,-6.2716,-20.1884,134.1
592,ven,6,-16.5183,10.6728,-9.8642,-11.3819,-1.3652,-8.1805,175.68
593,ven,6,-16.5183,10.6728,-9.8642,-11.9984,16.4621,-16.647,183.65
594,ven,6,11.0111,-16.418,-16.8174,-0.0363,-12.0462,-19.8568,192.05
595,ven,6,11.0111,-16.418,-16.8174,5.1509,-16.477,-17.3506,216.29
596,ven,6,0.5752,-1.9127,22.1913,-9.0386,-3.4801,18.6707,135.65
597,ven,6,0.5752,-1.9127,22.1913,1.145,-3.0579,22.0975,120.69
598,ven,6,14.9413,12.5312,18.4361,16.5613,13.6088,17.6006,156.13
599,ven,6,14.9413,12.5312,18.4361,22.594,16.5166,12.1344,176.13
600,ven,6,0.7409,21.8086,12.832,-3.8067,16.142,1.7332,177.18
601,ven,6,0.7409,21.8086,12.832,-6.8555,7.1603,6.7862,188.13
602,ven,6,14.6145,8.9482,19.8829,20.6881,15.4395,15.5271,205.31
603,ven,6,14.6145,8.9482,19.8829,19.0837,19.1331,12.8684,189.27
604,ven,6,-42.9914,-3.2587,5.2941,-42.9145,-12.4592,2.5993,142.67
605,ven,6,-42.9914,-3.2587,5.2941,-34.9153,-8.205,14.0156,141.95
606,ven,6,-10.7903,-9.3937,-4.5285,-12.3285,0.2888,4.3901,158.7
607,ven,6,-10.7903,-9.3937,-4.5285,-7.7433,-16.497,4.4223,152.56
608,ven,6,-8.8468,-14.1385,14.2543,-9.3295,-19.4219,14.6672,138.4
609,ven,6,-8.8468,-14.1385,14.2543,-8.8223,-17.0964,5.5949,124.46
610,ven,6,-13.3327,-21.2541,12.4585,-16.3279,-24.2578,3.9724,115.57
611,ven,6,-13.3327,-21.2541,12.4585,-8.6031,-24.5002,7.9323,122.36
612,ven,6,-19.2182,-21.1665,10.3744,-13.773,-19.9596,13.387,149.96
613,ven,6,-19.2182,-21.1665,10.3744,-12.802,-15.364,3.7844,156.89
614,ven,6,-26.4147,-10.4213,16.5977,-30.4603,0.152,13.8279,123.0
615,ven,6,-26.4147,-10.4213,16.5977,-26.2643,-6.5739,17.9591,111.25
616,ven,6,-20.8011,-21.8426,-8.6225,-16.8246,-13.7786,-10.2869,116.01
617,ven,6,-20.8011,-21.8426,-8.6225,-20.2344,-14.7645,-4.7303,124.84
618,ven,6,-17.91,-22.072,9.5117,-12.3999,-22.8929,9.9674,101.76
619,ven,6,-17.91,-22.072,9.5117,-18.8954,-21.6977,3.6861,97.65
620,ven,6,10.1077,-25.8495,-3.151,6.7582,-20.7843,6.1417,185.95
621,ven,6,10.1077,-25.8495,-3.151,8.465,-12.0028,-5.6215,205.73
622,ven,6,1.8291,-21.057,-13.6549,-4.7453,-19.1453,-15.3579,156.68
623,ven,6,1.8291,-21.057,-13.6549,11.0227,-15.1507,-3.395,174.51
624,ven,6,4.0984,-22.8009,-11.4264,2.5351,-21.6461,-12.975,191.25
625,ven,6,4.0984,-22.8009,-11.4264,0.6287,-24.6434,-8.5584,182.29
626,ven,6,-19.7348,-20.5925,10.9597,-19.9169,-17.6731,14.0072,169.75
627,ven,6,-19.7348,-20.5925,10.9597,-5.9203,-23.3949,7.2097,186.2
628,ven,6,10.1718,-13.0667,-5.7355,9.9685,-16.4693,-14.7586,120.55
629,ven,6,10.1718,-13.0667,-5.7355,15.252,-11.5793,-15.0567,122.87
630,ven,6,-5.6462,-9.9098,-5.3249,-5.9769,-2.2939,-12.1497,135.14
631,ven,6,-5.6462,-9.9098,-5.3249,-14.1006,-5.4004,-1.3035,125.11
632,ven,6,-3.9481,-26.1504,-4.1173,-4.9066,-26.5646,0.1813,162.48
633,ven,6,-3.9481,-26.1504,-4.1173,4.4582,-25.8987,-5.0161,163.78
634,ven,6,22.3282,-12.2779,-0.1145,12.9606,-9.1844,3.0572,142.61
635,ven,6,22.3282,-12.2779,-0.1145,14.2484,-13.5464,4.0801,132.61
636,ven,7,-13.3094,-24.2483,7.0811,-9.9177,-21.702,7.6308,116.84
637,ven,7,-13.3094,-24.2483,7.0811,-8.6384,-22.9228,5.6017,110.81
638,ven,7,-8.0879,-26.0499,3.2091,-6.5626,-21.1941,0.8592,114.41
